serial,day,month,year,season,time,bin_depth_min,bin_depth_max,n,depth_mean,depth_sd,depth_cv,temp_mean,temp_sd,temp_cv,cond_mean,cond_sd,cond_cv,ph_mean,ph_sd,ph_cv,turb_units,turb_mean,turb_sd,turb_cv,chloro_mean,chloro_sd,chloro_cv,do_percent_mean,do_percent_sd,do_percent_cv,do_ppm_mean,do_ppm_sd,do_ppm_cv,lat,long
129,17,6,2013,Spring,815,7.5,8.5,6,8.023,0.294,0.036645,18.885,0.051,0.003,0.269,0.001,0.004,8.087,0.005,0.001,NTU,8.283,0.194,0.023,1.95,2.392,1.227,100.583,0.349,0.003,9.342,0.023,0.002,41.46347,-82.55025
129,17,6,2013,Spring,815,0.5,1.5,9,1.069,0.273,0.255379,19.816,0.005,0.000252,0.271,0,0,8.082,0.008,0.001,NTU,8.033,0.15,0.019,2.922,2.078,0.711,101.289,0.478,0.005,9.238,0.044,0.005,41.46347,-82.55025
129,17,6,2013,Spring,815,1.5,2.5,5,1.992,0.265,0.133032,19.82,0,0,0.271,0.001,0.004,8.094,0.005,0.001,NTU,8.04,0.261,0.032,3.42,1.535,0.449,102.3,0.158,0.002,9.328,0.013,0.001,41.46347,-82.55025
129,17,6,2013,Spring,815,6.5,7.5,12,7.246,0.253,0.034916,19.153,0.239,0.012,0.27,0.001,0.004,8.105,0.005,0.001,NTU,8.658,1.485,0.172,2.058,1.964,0.954,102.608,0.851,0.008,9.481,0.049,0.005,41.46347,-82.55025
129,17,6,2013,Spring,815,2.5,3.5,6,2.961,0.331,0.111787,19.813,0.005,0.000252,0.271,0.001,0.004,8.097,0.005,0.001,NTU,8.1,0.21,0.026,3.8,2.641,0.695,102.8,0.141,0.001,9.375,0.015,0.002,41.46347,-82.55025
129,17,6,2013,Spring,815,3.5,4.5,6,4.037,0.259,0.064157,19.82,0,0,0.271,0,0,8.105,0.005,0.001,NTU,8.017,0.117,0.015,2,0.672,0.336,103.2,0.19,0.002,9.408,0.017,0.002,41.46347,-82.55025
129,17,6,2013,Spring,815,4.5,5.5,5,4.908,0.321,0.065403,19.808,0.008,0.000404,0.271,0.001,0.004,8.11,0,0,NTU,7.96,0.195,0.024,2.68,2.174,0.811,103.48,0.084,0.001,9.438,0.008,0.001,41.46347,-82.55025
129,17,6,2013,Spring,815,5.5,6.5,4,5.987,0.346,0.057792,19.78,0.022,0.001,0.27,0.001,0.004,8.11,0,0,NTU,8.125,0.15,0.018,4.05,0.714,0.176,103.625,0.05,0.00048,9.457,0.01,0.001,41.46347,-82.55025
130,17,6,2013,Spring,922,12.5,13.5,36,13.15,0.185,0.014068,17.069,0.015,0.001,0.274,0.001,0.004,7.944,0.034,0.004,NTU,282.744,317.256,1.122,7.081,8.14,1.15,86.978,3.9,0.045,8.389,0.374,0.045,41.56332,-82.55035
130,17,6,2013,Spring,922,11.5,12.5,7,11.96,0.333,0.027843,17.216,0.05,0.003,0.274,0,0,7.987,0.005,0.001,NTU,9.171,0.395,0.043,1.043,1.122,1.076,91.829,0.364,0.004,8.827,0.026,0.003,41.56332,-82.55035
130,17,6,2013,Spring,922,10.5,11.5,74,10.803,0.247,0.022864,17.442,0.064,0.004,0.274,0,0,8.012,0.009,0.001,NTU,7.496,0.35,0.047,1.035,1.664,1.608,94.397,0.754,0.008,9.034,0.066,0.007,41.56332,-82.55035
130,17,6,2013,Spring,922,9.5,10.5,22,10.185,0.281,0.02759,17.52,0.026,0.001,0.274,0,0,8.029,0.012,0.001,NTU,7.345,0.204,0.028,0.927,1.575,1.699,95.859,1.361,0.014,9.16,0.124,0.014,41.56332,-82.55035
130,17,6,2013,Spring,922,0.5,1.5,22,1.011,0.27,0.267062,18.377,0.01,0.001,0.272,0,0,8.045,0.005,0.001,NTU,7.155,0.168,0.023,0.395,1.413,3.577,96.295,1.524,0.016,9.04,0.146,0.016,41.56332,-82.55035
130,17,6,2013,Spring,922,8.5,9.5,9,9.035,0.303,0.033536,17.582,0.011,0.001,0.274,0.001,0.004,8.049,0.003,0.00037,NTU,7.267,0.212,0.029,1.633,2.121,1.299,97.944,0.255,0.003,9.348,0.022,0.002,41.56332,-82.55035
130,17,6,2013,Spring,922,7.5,8.5,10,8.008,0.322,0.04021,17.624,0.017,0.001,0.273,0,0,8.053,0.005,0.001,NTU,7.24,0.126,0.017,NA,NA,NA,98.78,0.266,0.003,9.42,0.022,0.002,41.56332,-82.55035
130,17,6,2013,Spring,922,1.5,2.5,12,2.047,0.297,0.14509,18.362,0.011,0.001,0.272,0,0,8.051,0.003,0.00037,NTU,7.183,0.366,0.051,NA,NA,NA,99.258,0.408,0.004,9.319,0.041,0.004,41.56332,-82.55035
130,17,6,2013,Spring,922,6.5,7.5,5,7.086,0.234,0.033023,17.682,0.019,0.001,0.272,0.001,0.004,8.06,0,0,NTU,7.4,0.339,0.046,1.48,2.247,1.518,99.34,0.114,0.001,9.46,0.007,0.001,41.56332,-82.55035
130,17,6,2013,Spring,922,5.5,6.5,9,5.982,0.323,0.053995,17.809,0.068,0.004,0.272,0,0,8.06,0,0,NTU,7.267,0.141,0.019,0.978,1.346,1.376,99.656,0.073,0.001,9.463,0.009,0.001,41.56332,-82.55035
130,17,6,2013,Spring,922,2.5,3.5,9,2.874,0.332,0.115518,18.333,0.013,0.001,0.272,0,0,8.06,0,0,NTU,6.833,0.122,0.018,0.267,1.764,6.607,99.911,0.06,0.001,9.386,0.005,0.001,41.56332,-82.55035
130,17,6,2013,Spring,922,4.5,5.5,13,5.016,0.317,0.063198,18.061,0.109,0.006,0.272,0,0,8.06,0,0,NTU,7.046,0.156,0.022,1.685,1.636,0.971,100.208,0.269,0.003,9.469,0.006,0.001,41.56332,-82.55035
130,17,6,2013,Spring,922,3.5,4.5,12,4.074,0.315,0.07732,18.279,0.038,0.002,0.272,0,0,8.06,0,0,NTU,6.825,0.154,0.023,0.417,1.691,4.055,100.3,0.171,0.002,9.437,0.024,0.003,41.56332,-82.55035
101,18,6,2013,Spring,1535,-0.5,0.5,39,0.125,0.103,0.824,18.386,1.065,0.058,0.059,0.086,1.458,8.058,0.082,0.01,NTU,80.362,72.107,0.897,7.685,12.845,1.671,91.359,2.392,0.026,8.586,0.342,0.04,41.76375,-83.34615
101,18,6,2013,Spring,1535,0.5,1.5,6,0.96,0.414,0.43125,21.043,0.185,0.009,0.27,0.001,0.004,8.133,0.005,0.001,NTU,15.133,4.87,0.322,1.4,2.126,1.519,98.1,1.638,0.017,8.732,0.12,0.014,41.76375,-83.34615
101,18,6,2013,Spring,1535,1.5,2.5,2,2.186,0.266,0.121683,21.18,0,0,0.27,0.001,0.004,8.14,0,0,NTU,15.65,1.061,0.068,2.2,0.849,0.386,100.3,0.141,0.001,8.905,0.007,0.001,41.76375,-83.34615
101,18,6,2013,Spring,1535,2.5,3.5,3,3.027,0.341,0.112653,21.19,0,0,0.269,0.001,0.004,8.147,0.006,0.001,NTU,13.6,2.022,0.149,1.7,1.997,1.175,100.767,0.153,0.002,8.943,0.012,0.001,41.76375,-83.34615
101,18,6,2013,Spring,1535,3.5,4.5,3,3.918,0.131,0.033435,21.19,0,0,0.27,0.001,0.004,8.15,0,0,NTU,12.4,0.1,0.008,1.7,0.985,0.579,101.167,0.115,0.001,8.983,0.006,0.001,41.76375,-83.34615
101,18,6,2013,Spring,1535,4.5,5.5,4,5.016,0.359,0.071571,21.19,0,0,0.27,0,0,8.158,0.005,0.001,NTU,14.375,3.8,0.264,0.425,1.917,4.511,101.175,0.05,0.00049,8.982,0.005,0.001,41.76375,-83.34615
